symbol,company_name,sector,market_cap,headquarters,exchange,currency
IR,Ingersoll Rand,Industrial,,"Davidson, North Carolina",NYSE,USD
IRM,Iron Mountain,Real Estate,,"Portsmouth, New Hampshire",NYSE,USD
ISRG,Intuitive Surgical,Healthcare,,"Sunnyvale, California",NYSE,USD
IT,Gartner,Technology,,"Stamford, Connecticut",NYSE,USD
ITW,Illinois Tool Works,Industrial,,"Glenview, Illinois",NYSE,USD
IVZ,Invesco,Financial,,"Atlanta, Georgia",NYSE,USD
J,Jacobs Solutions,Industrial,,"Dallas, Texas",NYSE,USD
JBHT,J.B. Hunt,Industrial,,"Lowell, Arkansas",NYSE,USD
JBL,Jabil,Technology,,"St. Petersburg, Florida",NYSE,USD
JCI,Johnson Controls,Industrial,,"Cork, Ireland",NYSE,USD
JKHY,Jack Henry & Associates,Financial,,"Monett, Missouri",NYSE,USD
JNJ,Johnson & Johnson,Healthcare,,"New Brunswick, New Jersey",NYSE,USD
JPM,JPMorgan Chase,Financial,,"New York City, New York",NYSE,USD
K,Kellanova,Consumer Staples,,"Chicago, Illinois",NYSE,USD
KDP,Keurig Dr Pepper,Consumer Staples,,"Burlington, Massachusetts",NYSE,USD
KEY,KeyCorp,Financial,,"Cleveland, Ohio",NYSE,USD
KEYS,Keysight Technologies,Technology,,"Santa Rosa, California",NYSE,USD
KHC,Kraft Heinz,Consumer Staples,,"Chicago, Illinois; Pittsburgh, Pennsylvania",NYSE,USD
KIM,Kimco Realty,Real Estate,,"Jericho, New York",NYSE,USD
KKR,KKR &,Financial,,"New York City, New York",NYSE,USD
KLAC,KLA,Technology,,"Milpitas, California",NYSE,USD
KMB,Kimberly-Clark,Consumer Staples,,"Irving, Texas",NYSE,USD
KMI,Kinder Morgan,Energy,,"Houston, Texas",NYSE,USD
KMX,CarMax,Consumer Discretionary,,"Richmond, Virginia",NYSE,USD
KO,Coca-Cola Company (The),Consumer Staples,,"Atlanta, Georgia",NYSE,USD
KR,Kroger,Consumer Staples,,"Cincinnati, Ohio",NYSE,USD
KVUE,Kenvue,Consumer Staples,,"Skillman, New Jersey",NYSE,USD
L,Loews,Financial,,"New York City, New York",NYSE,USD
LDOS,Leidos,Industrial,,"Reston, Virginia",NYSE,USD
LEN,Lennar,Consumer Discretionary,,"Miami, Florida",NYSE,USD
LH,Labcorp,Healthcare,,"Burlington, North Carolina",NYSE,USD
LHX,L3Harris,Industrial,,"Melbourne, Florida",NYSE,USD
LII,Lennox International,Industrial,,"Richardson, Texas",NYSE,USD
LIN,Linde plc,Materials,,"Guildford, United Kingdom",NYSE,USD
LKQ,LKQ,Consumer Discretionary,,"Nashville, Tennessee",NYSE,USD
LLY,Lilly (Eli),Healthcare,,"Indianapolis, Indiana",NYSE,USD
LMT,Lockheed Martin,Industrial,,"Bethesda, Maryland",NYSE,USD
LNT,Alliant Energy,Utilities,,"Madison, Wisconsin",NYSE,USD
LOW,Lowe's,Consumer Discretionary,,"Mooresville, North Carolina",NYSE,USD
LRCX,Lam Research,Technology,,"Fremont, California",NYSE,USD
LULU,Lululemon Athletica,Consumer Discretionary,,"Vancouver, Canada",NYSE,USD
LUV,Southwest Airlines,Industrial,,"Dallas, Texas",NYSE,USD
LVS,Las Vegas Sands,Consumer Discretionary,,"Las Vegas, Nevada",NYSE,USD
LW,Lamb Weston,Consumer Staples,,"Eagle, Idaho",NYSE,USD
LYB,LyondellBasell,Materials,,"Rotterdam, Netherlands",NYSE,USD
LYV,Live Nation Entertainment,Communication Services,,"Beverly Hills, California",NYSE,USD
MA,Mastercard,Financial,,"Harrison, New York",NYSE,USD
MAA,Mid-America Apartment Communities,Real Estate,,"Memphis, Tennessee",NYSE,USD
MAR,Marriott International,Consumer Discretionary,,"Bethesda, Maryland",NYSE,USD
MAS,Masco,Industrial,,"Livonia, Michigan",NYSE,USD
MCD,McDonald's,Consumer Discretionary,,"Chicago, Illinois",NYSE,USD
MCHP,Microchip Technology,Technology,,"Chandler, Arizona",NYSE,USD
MCK,McKesson,Healthcare,,"Irving, Texas",NYSE,USD
MCO,Moody's,Financial,,"New York City, New York",NYSE,USD
MDLZ,Mondelez International,Consumer Staples,,"Chicago, Illinois",NYSE,USD
MDT,Medtronic,Healthcare,,"Dublin, Ireland",NYSE,USD
MET,MetLife,Financial,,"New York City, New York",NYSE,USD
META,Meta Platforms,Communication Services,,"Menlo Park, California",NASDAQ,USD
MGM,MGM Resorts,Consumer Discretionary,,"Paradise, Nevada",NYSE,USD
MHK,Mohawk Industries,Consumer Discretionary,,"Calhoun, Georgia",NYSE,USD
MKC,McCormick &,Consumer Staples,,"Hunt Valley, Maryland",NYSE,USD
MLM,Martin Marietta Materials,Materials,,"Raleigh, North Carolina",NYSE,USD
MMC,Marsh McLennan,Financial,,"New York City, New York",NYSE,USD
MMM,3M,Industrial,,"Saint Paul, Minnesota",NYSE,USD
MNST,Monster Beverage,Consumer Staples,,"Corona, California",NYSE,USD
MO,Altria,Consumer Staples,,"Richmond, Virginia",NYSE,USD
MOH,Molina Healthcare,Healthcare,,"Long Beach, California",NYSE,USD
MOS,Mosaic Company (The),Materials,,"Tampa, Florida",NYSE,USD
MPC,Marathon Petroleum,Energy,,"Findlay, Ohio",NYSE,USD
MPWR,Monolithic Power Systems,Technology,,"Kirkland, Washington",NYSE,USD
MRK,Merck &,Healthcare,,"Kenilworth, New Jersey",NYSE,USD
MRNA,Moderna,Healthcare,,"Cambridge, Massachusetts",NYSE,USD
MS,Morgan Stanley,Financial,,"New York City, New York",NYSE,USD
MSCI,MSCI,Financial,,"New York City, New York",NYSE,USD
MSFT,Microsoft,Technology,,"Redmond, Washington",NASDAQ,USD
MSI,Motorola Solutions,Technology,,"Chicago, Illinois",NYSE,USD
MTB,M&T Bank,Financial,,"Buffalo, New York",NYSE,USD
MTCH,Match Group,Communication Services,,"Dallas, Texas",NYSE,USD
MTD,Mettler Toledo,Healthcare,,"Columbus, Ohio",NYSE,USD
MU,Micron Technology,Technology,,"Boise, Idaho",NYSE,USD
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,,"Miami, Florida",NYSE,USD
NDAQ,"Nasdaq,",Financial,,"New York City, New York",NYSE,USD
NDSN,Nordson,Industrial,,"Westlake, Ohio",NYSE,USD
NEE,NextEra Energy,Utilities,,"Juno Beach, Florida",NYSE,USD
NEM,Newmont,Materials,,"Denver, Colorado",NYSE,USD
