symbol,company_name,sector,market_cap,headquarters,exchange,currency,isin
NCC,NCC,Construction,,India,NSE,INR,INE868B01028
NESTLEIND,Nestle India,Fast Moving Consumer Goods,,India,NSE,INR,INE239A01016
NETWEB,Netweb Technologies India,Information Technology,,India,NSE,INR,INE0NT901020
NEULANDLAB,Neuland Laboratories,Healthcare,,India,NSE,INR,INE794A01010
NEWGEN,Newgen Software Technologies,Information Technology,,India,NSE,INR,INE619B01017
NH,Narayana Hrudayalaya,Healthcare,,India,NSE,INR,INE410P01011
NHPC,NHPC,Power,,India,NSE,INR,INE848E01016
NIACL,The New India Assurance Company,Financial Services,,India,NSE,INR,INE470Y01017
NIVABUPA,Niva Bupa Health Insurance Company,Financial Services,,India,NSE,INR,INE995S01015
NLCINDIA,NLC India,Power,,India,NSE,INR,INE589A01014
NMDC,NMDC,Metals & Mining,,India,NSE,INR,INE584A01023
NSLNISP,NMDC Steel,Metals & Mining,,India,NSE,INR,INE0NNS01018
NTPC,NTPC,Power,,India,NSE,INR,INE733E01010
NTPCGREEN,NTPC Green Energy,Power,,India,NSE,INR,INE0ONG01011
NUVAMA,Nuvama Wealth Management,Financial Services,,India,NSE,INR,INE531F01015
NUVOCO,Nuvoco Vistas Corporation,Construction Materials,,India,NSE,INR,INE118D01016
NYKAA,FSN E-Commerce Ventures,Consumer Services,,India,NSE,INR,INE388Y01029
OBEROIRLTY,Oberoi Realty,Realty,,India,NSE,INR,INE093I01010
OFSS,Oracle Financial Services Software,Information Technology,,India,NSE,INR,INE881D01027
OIL,Oil India,Oil Gas & Consumable Fuels,,India,NSE,INR,INE274J01014
OLAELEC,Ola Electric Mobility,Automobile and Auto Components,,India,NSE,INR,INE0LXG01040
OLECTRA,Olectra Greentech,Automobile and Auto Components,,India,NSE,INR,INE260D01016
ONESOURCE,Onesource Specialty Pharma,Healthcare,,India,NSE,INR,INE013P01021
ONGC,Oil & Natural Gas Corporation,Oil Gas & Consumable Fuels,,India,NSE,INR,INE213A01029
PAGEIND,Page Industries,Textiles,,India,NSE,INR,INE761H01022
PATANJALI,Patanjali Foods,Fast Moving Consumer Goods,,India,NSE,INR,INE619A01035
PAYTM,One 97 Communications,Financial Services,,India,NSE,INR,INE982J01020
PCBL,PCBL Chemical,Chemicals,,India,NSE,INR,INE602A01031
PERSISTENT,Persistent Systems,Information Technology,,India,NSE,INR,INE262H01021
PETRONET,Petronet LNG,Oil Gas & Consumable Fuels,,India,NSE,INR,INE347G01014
PFC,Power Finance Corporation,Financial Services,,India,NSE,INR,INE134E01011
PFIZER,Pfizer,Healthcare,,India,NSE,INR,INE182A01018
PGEL,PG Electroplast,Consumer Durables,,India,NSE,INR,INE457L01029
PGHH,Procter & Gamble Hygiene & Health Care,Fast Moving Consumer Goods,,India,NSE,INR,INE179A01014
PHOENIXLTD,Phoenix Mills,Realty,,India,NSE,INR,INE211B01039
PIDILITIND,Pidilite Industries,Chemicals,,India,NSE,INR,INE318A01026
PIIND,PI Industries,Chemicals,,India,NSE,INR,INE603J01030
PNB,Punjab National Bank,Financial Services,,India,NSE,INR,INE160A01022
PNBHOUSING,PNB Housing Finance,Financial Services,,India,NSE,INR,INE572E01012
POLICYBZR,PB Fintech,Financial Services,,India,NSE,INR,INE417T01026
POLYCAB,Polycab India,Capital Goods,,India,NSE,INR,INE455K01017
POLYMED,Poly Medicure,Healthcare,,India,NSE,INR,INE205C01021
POONAWALLA,Poonawalla Fincorp,Financial Services,,India,NSE,INR,INE511C01022
POWERGRID,Power Grid Corporation of India,Power,,India,NSE,INR,INE752E01010
POWERINDIA,Hitachi Energy India,Capital Goods,,India,NSE,INR,INE07Y701011
PPLPHARMA,Piramal Pharma,Healthcare,,India,NSE,INR,INE0DK501011
PRAJIND,Praj Industries,Capital Goods,,India,NSE,INR,INE074A01025
PREMIERENE,Premier Energies,Capital Goods,,India,NSE,INR,INE0BS701011
PRESTIGE,Prestige Estates Projects,Realty,,India,NSE,INR,INE811K01011
PTCIL,PTC Industries,Capital Goods,,India,NSE,INR,INE596F01018
PVRINOX,PVR INOX,Media Entertainment & Publication,,India,NSE,INR,INE191H01014
RADICO,Radico Khaitan,Fast Moving Consumer Goods,,India,NSE,INR,INE944F01028
RAILTEL,Railtel Corporation Of India,Telecommunication,,India,NSE,INR,INE0DD101019
RAINBOW,Rainbow Childrens Medicare,Healthcare,,India,NSE,INR,INE961O01016
RAMCOCEM,The Ramco Cements,Construction Materials,,India,NSE,INR,INE331A01037
RBLBANK,RBL Bank,Financial Services,,India,NSE,INR,INE976G01028
RCF,Rashtriya Chemicals & Fertilizers,Chemicals,,India,NSE,INR,INE027A01015
RECLTD,REC,Financial Services,,India,NSE,INR,INE020B01018
REDINGTON,Redington,Services,,India,NSE,INR,INE891D01026
RELIANCE,Reliance Industries,Oil Gas & Consumable Fuels,,India,NSE,INR,INE002A01018
RELINFRA,Reliance Infrastructure,Power,,India,NSE,INR,INE036A01016
RHIM,RHI MAGNESITA INDIA,Capital Goods,,India,NSE,INR,INE743M01012
RITES,RITES,Construction,,India,NSE,INR,INE320J01015
RKFORGE,Ramkrishna Forgings,Automobile and Auto Components,,India,NSE,INR,INE399G01023
RPOWER,Reliance Power,Power,,India,NSE,INR,INE614G01033
RRKABEL,R R Kabel,Capital Goods,,India,NSE,INR,INE777K01022
RVNL,Rail Vikas Nigam,Construction,,India,NSE,INR,INE415G01027
SAGILITY,Sagility,Information Technology,,India,NSE,INR,INE0W2G01015
SAIL,Steel Authority of India,Metals & Mining,,India,NSE,INR,INE114A01011
SAILIFE,Sai Life Sciences,Healthcare,,India,NSE,INR,INE570L01029
SAMMAANCAP,Sammaan Capital,Financial Services,,India,NSE,INR,INE148I01020
SAPPHIRE,Sapphire Foods India,Consumer Services,,India,NSE,INR,INE806T01020
SARDAEN,Sarda Energy and Minerals,Metals & Mining,,India,NSE,INR,INE385C01021
SAREGAMA,Saregama India,Media Entertainment & Publication,,India,NSE,INR,INE979A01025
SBFC,SBFC Finance,Financial Services,,India,NSE,INR,INE423Y01016
SBICARD,SBI Cards and Payment Services,Financial Services,,India,NSE,INR,INE018E01016
SBILIFE,SBI Life Insurance Company,Financial Services,,India,NSE,INR,INE536L01010
SBIN,State Bank of India,Financial Services,,India,NSE,INR,INE062A01020
SCHAEFFLER,Schaeffler India,Automobile and Auto Components,,India,NSE,INR,INE513A01022
SCHNEIDER,Schneider Electric Infrastructure,Capital Goods,,India,NSE,INR,INE839M01018
SCI,Shipping Corporation of India,Services,,India,NSE,INR,INE109A01011
SHREECEM,Shree Cement,Construction Materials,,India,NSE,INR,INE070A01015
SHRIRAMFIN,Shriram Finance,Financial Services,,India,NSE,INR,INE721A01047
SHYAMMETL,Shyam Metalics and Energy,Capital Goods,,India,NSE,INR,INE810G01011
SIEMENS,Siemens,Capital Goods,,India,NSE,INR,INE303A01024
SIGNATURE,Signatureglobal (India),Realty,,India,NSE,INR,INE903U01023
SJVN,SJVN,Power,,India,NSE,INR,INE002L01015
SKFINDIA,SKF India,Capital Goods,,India,NSE,INR,INE640A01023
SOBHA,Sobha,Realty,,India,NSE,INR,INE671H01015
SOLARINDS,Solar Industries India,Chemicals,,India,NSE,INR,INE343H01029
SONACOMS,Sona BLW Precision Forgings,Automobile and Auto Components,,India,NSE,INR,INE073K01018
SONATSOFTW,Sonata Software,Information Technology,,India,NSE,INR,INE269A01021
SRF,SRF,Chemicals,,India,NSE,INR,INE647A01010
STARHEALTH,Star Health and Allied Insurance Company,Financial Services,,India,NSE,INR,INE575P01011
SUMICHEM,Sumitomo Chemical India,Chemicals,,India,NSE,INR,INE258G01013
SUNDARMFIN,Sundaram Finance,Financial Services,,India,NSE,INR,INE660A01013
SUNDRMFAST,Sundram Fasteners,Automobile and Auto Components,,India,NSE,INR,INE387A01021
SUNPHARMA,Sun Pharmaceutical Industries,Healthcare,,India,NSE,INR,INE044A01036
SUNTV,Sun TV Network,Media Entertainment & Publication,,India,NSE,INR,INE424H01027
SUPREMEIND,Supreme Industries,Capital Goods,,India,NSE,INR,INE195A01028
SUZLON,Suzlon Energy,Capital Goods,,India,NSE,INR,INE040H01021
SWANCORP,Swan Corp,Chemicals,,India,NSE,INR,INE665A01038
SWIGGY,Swiggy,Consumer Services,,India,NSE,INR,INE00H001014
SYNGENE,Syngene International,Healthcare,,India,NSE,INR,INE398R01022
SYRMA,Syrma SGS Technology,Capital Goods,,India,NSE,INR,INE0DYJ01015
TARIL,Transformers And Rectifiers (India),Capital Goods,,India,NSE,INR,INE763I01026
TATACHEM,Tata Chemicals,Chemicals,,India,NSE,INR,INE092A01019
TATACOMM,Tata Communications,Telecommunication,,India,NSE,INR,INE151A01013
TATACONSUM,Tata Consumer Products,Fast Moving Consumer Goods,,India,NSE,INR,INE192A01025
TATAELXSI,Tata Elxsi,Information Technology,,India,NSE,INR,INE670A01012
TATAINVEST,Tata Investment Corporation,Financial Services,,India,NSE,INR,INE672A01026
TATAMOTORS,Tata Motors,Automobile and Auto Components,,India,NSE,INR,INE155A01022
TATAPOWER,Tata Power Co.,Power,,India,NSE,INR,INE245A01021
TATASTEEL,Tata Steel,Metals & Mining,,India,NSE,INR,INE081A01012
TATATECH,Tata Technologies,Information Technology,,India,NSE,INR,INE142M01025
TBOTEK,TBO Tek,Consumer Services,,India,NSE,INR,INE673O01025
TCS,Tata Consultancy Services,Information Technology,,India,NSE,INR,INE467B01029
TECHM,Tech Mahindra,Information Technology,,India,NSE,INR,INE669C01036
TECHNOE,Techno Electric & Engineering Company,Construction,,India,NSE,INR,INE285K01026
TEJASNET,Tejas Networks,Telecommunication,,India,NSE,INR,INE010J01012
THELEELA,Schloss Bangalore,Consumer Services,,India,NSE,INR,INE0AQ201015
THERMAX,Thermax,Capital Goods,,India,NSE,INR,INE152A01029
TIINDIA,Tube Investments of India,Automobile and Auto Components,,India,NSE,INR,INE974X01010
TIMKEN,Timken India,Capital Goods,,India,NSE,INR,INE325A01013
TITAGARH,Titagarh Rail Systems,Capital Goods,,India,NSE,INR,INE615H01020
TITAN,Titan Company,Consumer Durables,,India,NSE,INR,INE280A01028
TORNTPHARM,Torrent Pharmaceuticals,Healthcare,,India,NSE,INR,INE685A01028
TORNTPOWER,Torrent Power,Power,,India,NSE,INR,INE813H01021
TRENT,Trent,Consumer Services,,India,NSE,INR,INE849A01020
TRIDENT,Trident,Textiles,,India,NSE,INR,INE064C01022
TRITURBINE,Triveni Turbine,Capital Goods,,India,NSE,INR,INE152M01016
TRIVENI,Triveni Engineering & Industries,Fast Moving Consumer Goods,,India,NSE,INR,INE256C01024
TTML,Tata Teleservices (Maharashtra),Telecommunication,,India,NSE,INR,INE517B01013
TVSMOTOR,TVS Motor Company,Automobile and Auto Components,,India,NSE,INR,INE494B01023
UBL,United Breweries,Fast Moving Consumer Goods,,India,NSE,INR,INE686F01025
UCOBANK,UCO Bank,Financial Services,,India,NSE,INR,INE691A01018
ULTRACEMCO,UltraTech Cement,Construction Materials,,India,NSE,INR,INE481G01011
UNIONBANK,Union Bank of India,Financial Services,,India,NSE,INR,INE692A01016
UNITDSPR,United Spirits,Fast Moving Consumer Goods,,India,NSE,INR,INE854D01024
UNOMINDA,UNO Minda,Automobile and Auto Components,,India,NSE,INR,INE405E01023
UPL,UPL,Chemicals,,India,NSE,INR,INE628A01036
USHAMART,Usha Martin,Capital Goods,,India,NSE,INR,INE228A01035
UTIAMC,UTI Asset Management Company,Financial Services,,India,NSE,INR,INE094J01016
VBL,Varun Beverages,Fast Moving Consumer Goods,,India,NSE,INR,INE200M01039
VEDL,Vedanta,Metals & Mining,,India,NSE,INR,INE205A01025
VENTIVE,Ventive Hospitality,Consumer Services,,India,NSE,INR,INE781S01027
VGUARD,V-Guard Industries,Consumer Durables,,India,NSE,INR,INE951I01027
VIJAYA,Vijaya Diagnostic Centre,Healthcare,,India,NSE,INR,INE043W01024
VMM,Vishal Mega Mart,Consumer Services,,India,NSE,INR,INE01EA01019
VOLTAS,Voltas,Consumer Durables,,India,NSE,INR,INE226A01021
VTL,Vardhman Textiles,Textiles,,India,NSE,INR,INE825A01020
WAAREEENER,Waaree Energies,Capital Goods,,India,NSE,INR,INE377N01017
WELCORP,Welspun Corp,Capital Goods,,India,NSE,INR,INE191B01025
WELSPUNLIV,Welspun Living,Textiles,,India,NSE,INR,INE192B01031
WHIRLPOOL,Whirlpool of India,Consumer Durables,,India,NSE,INR,INE716A01013
WIPRO,Wipro,Information Technology,,India,NSE,INR,INE075A01022
WOCKPHARMA,Wockhardt,Healthcare,,India,NSE,INR,INE049B01025
YESBANK,Yes Bank,Financial Services,,India,NSE,INR,INE528G01035
ZEEL,Zee Entertainment Enterprises,Media Entertainment & Publication,,India,NSE,INR,INE256A01028
ZENSARTECH,Zensar Technolgies,Information Technology,,India,NSE,INR,INE520A01027
ZENTEC,Zen Technologies,Capital Goods,,India,NSE,INR,INE251B01027
ZFCVINDIA,ZF Commercial Vehicle Control Systems India,Automobile and Auto Components,,India,NSE,INR,INE342J01019
ZYDUSLIFE,Zydus Lifesciences,Healthcare,,India,NSE,INR,INE010B01027
