symbol,company_name,sector,market_cap,headquarters,exchange
EQIX,Equinix,Real Estate,,"Redwood City, California",NYSE
EQR,Equity Residential,Real Estate,,"Chicago, Illinois",NYSE
EQT,EQT,Energy,,"Pittsburgh, Pennsylvania",NYSE
ERIE,Erie Indemnity,Financial,,"Erie, Pennsylvania",NYSE
ES,Eversource Energy,Utilities,,"Hartford, Connecticut",NYSE
ESS,Essex Property Trust,Real Estate,,"San Mateo, California",NYSE
ETN,Eaton,Industrial,,"Dublin, Ireland",NYSE
ETR,Entergy,Utilities,,"New Orleans, Louisiana",NYSE
EVRG,Evergy,Utilities,,"Kansas City, Missouri",NYSE
EW,Edwards Lifesciences,Healthcare,,"Irvine, California",NYSE
EXC,Exelon,Utilities,,"Chicago, Illinois",NYSE
EXE,Expand Energy,Energy,,"Oklahoma City, Oklahoma",NYSE
EXPD,Expeditors International,Industrial,,"Seattle, Washington",NYSE
EXPE,Expedia Group,Consumer Discretionary,,"Seattle, Washington",NYSE
EXR,Extra Space Storage,Real Estate,,"Salt Lake City, Utah",NYSE
F,Ford Motor,Consumer Discretionary,,"Dearborn, Michigan",NYSE
FANG,Diamondback Energy,Energy,,"Midland, Texas",NYSE
FAST,Fastenal,Industrial,,"Winona, Minnesota",NYSE
FCX,Freeport-McMoRan,Materials,,"Phoenix, Arizona",NYSE
FDS,FactSet,Financial,,"Norwalk, Connecticut",NYSE
FDX,FedEx,Industrial,,"Memphis, Tennessee",NYSE
FE,FirstEnergy,Utilities,,"Akron, Ohio",NYSE
FFIV,"F5,",Technology,,"Seattle, Washington",NYSE
FI,Fiserv,Financial,,"Brookfield, Wisconsin",NYSE
FICO,Fair Isaac,Technology,,"Bozeman, Montana",NYSE
FIS,Fidelity National Information Services,Financial,,"Jacksonville, Florida",NYSE
FITB,Fifth Third Bancorp,Financial,,"Cincinnati, Ohio",NYSE
FOX,Fox Corporation (Class B),Communication Services,,"New York City, New York",NYSE
FOXA,Fox Corporation (Class A),Communication Services,,"New York City, New York",NYSE
FRT,Federal Realty Investment Trust,Real Estate,,"Rockville, Maryland",NYSE
FSLR,First Solar,Technology,,"Tempe, Arizona",NYSE
FTNT,Fortinet,Technology,,"Sunnyvale, California",NYSE
FTV,Fortive,Industrial,,"Everett, Washington",NYSE
GD,General Dynamics,Industrial,,"Falls Church, Virginia",NYSE
GDDY,GoDaddy,Technology,,"Tempe, Arizona",NYSE
GE,GE Aerospace,Industrial,,"Evendale, Ohio",NYSE
GEHC,GE HealthCare,Healthcare,,"Chicago, Illinois",NYSE
GEN,Gen Digital,Technology,,"Tempe, Arizona",NYSE
GEV,GE Vernova,Industrial,,"Cambridge, Massachusetts",NYSE
GILD,Gilead Sciences,Healthcare,,"Foster City, California",NYSE
GIS,General Mills,Consumer Staples,,"Golden Valley, Minnesota",NYSE
GL,Globe Life,Financial,,"McKinney, Texas",NYSE
GLW,Corning,Technology,,"Corning, New York",NYSE
GM,General Motors,Consumer Discretionary,,"Detroit, Michigan",NYSE
GNRC,Generac,Industrial,,"Waukesha, Wisconsin",NYSE
GOOG,Alphabet Inc. (Class C),Communication Services,,"Mountain View, California",NYSE
GOOGL,Alphabet Inc. (Class A),Communication Services,,"Mountain View, California",NASDAQ
GPC,Genuine Parts,Consumer Discretionary,,"Atlanta, Georgia",NYSE
GPN,Global Payments,Financial,,"Atlanta, Georgia",NYSE
GRMN,Garmin,Consumer Discretionary,,"Schaffhausen, Switzerland",NYSE
GS,Goldman Sachs,Financial,,"New York City, New York",NYSE
GWW,W. W. Grainger,Industrial,,"Lake Forest, Illinois",NYSE
HAL,Halliburton,Energy,,"Houston, Texas",NYSE
HAS,Hasbro,Consumer Discretionary,,"Pawtucket, Rhode Island",NYSE
HBAN,Huntington Bancshares,Financial,,"Columbus, Ohio; Detroit, Michigan",NYSE
HCA,HCA Healthcare,Healthcare,,"Nashville, Tennessee",NYSE
HD,Home Depot (The),Consumer Discretionary,,"Atlanta, Georgia",NYSE
HIG,Hartford (The),Financial,,"Hartford, Connecticut",NYSE
HII,Huntington Ingalls Industries,Industrial,,"Newport News, Virginia",NYSE
HLT,Hilton Worldwide,Consumer Discretionary,,"Tysons Corner, Virginia",NYSE
HOLX,Hologic,Healthcare,,"Marlborough, Massachusetts",NYSE
HON,Honeywell,Industrial,,"Charlotte, North Carolina",NYSE
HOOD,Robinhood Markets,Financial,,"Menlo Park, California",NYSE
HPE,Hewlett Packard Enterprise,Technology,,"Houston, Texas",NYSE
HPQ,HP,Technology,,"Palo Alto, California",NYSE
HRL,Hormel Foods,Consumer Staples,,"Austin, Minnesota",NYSE
HSIC,Henry Schein,Healthcare,,"Melville, New York",NYSE
HST,Host Hotels & Resorts,Real Estate,,"Bethesda, Maryland",NYSE
HSY,Hershey Company (The),Consumer Staples,,"Hershey, Pennsylvania",NYSE
HUBB,Hubbell Incorporated,Industrial,,"Shelton, Connecticut",NYSE
HUM,Humana,Healthcare,,"Louisville, Kentucky",NYSE
HWM,Howmet Aerospace,Industrial,,"Pittsburgh, Pennsylvania",NYSE
IBKR,Interactive Brokers,Financial,,"Greenwich, Connecticut",NYSE
IBM,IBM,Technology,,"Armonk, New York",NYSE
ICE,Intercontinental Exchange,Financial,,"Atlanta, Georgia",NYSE
IDXX,Idexx Laboratories,Healthcare,,"Westbrook, Maine",NYSE
IEX,IDEX,Industrial,,"Northbrook, Illinois",NYSE
IFF,International Flavors & Fragrances,Materials,,"New York City, New York",NYSE
INCY,Incyte,Healthcare,,"Wilmington, Delaware",NYSE
INTC,Intel,Technology,,"Santa Clara, California",NYSE
INTU,Intuit,Technology,,"Mountain View, California",NYSE
INVH,Invitation Homes,Real Estate,,"Dallas, Texas",NYSE
IP,International Paper,Materials,,"Memphis, Tennessee",NYSE
IPG,Interpublic Group of Companies (The),Communication Services,,"New York City, New York",NYSE
IQV,IQVIA,Healthcare,,"Durham, North Carolina",NYSE
IR,Ingersoll Rand,Industrial,,"Davidson, North Carolina",NYSE
IRM,Iron Mountain,Real Estate,,"Portsmouth, New Hampshire",NYSE
ISRG,Intuitive Surgical,Healthcare,,"Sunnyvale, California",NYSE
IT,Gartner,Technology,,"Stamford, Connecticut",NYSE
ITW,Illinois Tool Works,Industrial,,"Glenview, Illinois",NYSE
IVZ,Invesco,Financial,,"Atlanta, Georgia",NYSE
J,Jacobs Solutions,Industrial,,"Dallas, Texas",NYSE
JBHT,J.B. Hunt,Industrial,,"Lowell, Arkansas",NYSE
JBL,Jabil,Technology,,"St. Petersburg, Florida",NYSE
JCI,Johnson Controls,Industrial,,"Cork, Ireland",NYSE
JKHY,Jack Henry & Associates,Financial,,"Monett, Missouri",NYSE
JNJ,Johnson & Johnson,Healthcare,,"New Brunswick, New Jersey",NYSE
JPM,JPMorgan Chase,Financial,,"New York City, New York",NYSE
K,Kellanova,Consumer Staples,,"Chicago, Illinois",NYSE
KDP,Keurig Dr Pepper,Consumer Staples,,"Burlington, Massachusetts",NYSE
KEY,KeyCorp,Financial,,"Cleveland, Ohio",NYSE
KEYS,Keysight Technologies,Technology,,"Santa Rosa, California",NYSE
KHC,Kraft Heinz,Consumer Staples,,"Chicago, Illinois; Pittsburgh, Pennsylvania",NYSE
KIM,Kimco Realty,Real Estate,,"Jericho, New York",NYSE
KKR,KKR &,Financial,,"New York City, New York",NYSE
KLAC,KLA,Technology,,"Milpitas, California",NYSE
KMB,Kimberly-Clark,Consumer Staples,,"Irving, Texas",NYSE
KMI,Kinder Morgan,Energy,,"Houston, Texas",NYSE
KMX,CarMax,Consumer Discretionary,,"Richmond, Virginia",NYSE
KO,Coca-Cola Company (The),Consumer Staples,,"Atlanta, Georgia",NYSE
KR,Kroger,Consumer Staples,,"Cincinnati, Ohio",NYSE
KVUE,Kenvue,Consumer Staples,,"Skillman, New Jersey",NYSE
L,Loews,Financial,,"New York City, New York",NYSE
LDOS,Leidos,Industrial,,"Reston, Virginia",NYSE
LEN,Lennar,Consumer Discretionary,,"Miami, Florida",NYSE
LH,Labcorp,Healthcare,,"Burlington, North Carolina",NYSE
LHX,L3Harris,Industrial,,"Melbourne, Florida",NYSE
LII,Lennox International,Industrial,,"Richardson, Texas",NYSE
LIN,Linde plc,Materials,,"Guildford, United Kingdom",NYSE
LKQ,LKQ,Consumer Discretionary,,"Nashville, Tennessee",NYSE
LLY,Lilly (Eli),Healthcare,,"Indianapolis, Indiana",NYSE
LMT,Lockheed Martin,Industrial,,"Bethesda, Maryland",NYSE
LNT,Alliant Energy,Utilities,,"Madison, Wisconsin",NYSE
LOW,Lowe's,Consumer Discretionary,,"Mooresville, North Carolina",NYSE
LRCX,Lam Research,Technology,,"Fremont, California",NYSE
LULU,Lululemon Athletica,Consumer Discretionary,,"Vancouver, Canada",NYSE
LUV,Southwest Airlines,Industrial,,"Dallas, Texas",NYSE
LVS,Las Vegas Sands,Consumer Discretionary,,"Las Vegas, Nevada",NYSE
LW,Lamb Weston,Consumer Staples,,"Eagle, Idaho",NYSE
LYB,LyondellBasell,Materials,,"Rotterdam, Netherlands",NYSE
LYV,Live Nation Entertainment,Communication Services,,"Beverly Hills, California",NYSE
MA,Mastercard,Financial,,"Harrison, New York",NYSE
MAA,Mid-America Apartment Communities,Real Estate,,"Memphis, Tennessee",NYSE
MAR,Marriott International,Consumer Discretionary,,"Bethesda, Maryland",NYSE
MAS,Masco,Industrial,,"Livonia, Michigan",NYSE
MCD,McDonald's,Consumer Discretionary,,"Chicago, Illinois",NYSE
