symbol,company_name,sector,market_cap,headquarters,exchange,isin
MGL,Mahanagar Gas,Oil Gas & Consumable Fuels,,India,NSE,INE002S01010
MINDACORP,Minda Corporation,Automobile and Auto Components,,India,NSE,INE842C01021
MMTC,MMTC,Services,,India,NSE,INE123F01029
MOTHERSON,Samvardhana Motherson International,Automobile and Auto Components,,India,NSE,INE775A01035
MOTILALOFS,Motilal Oswal Financial Services,Financial Services,,India,NSE,INE338I01027
MPHASIS,MphasiS,Information Technology,,India,NSE,INE356A01018
MRF,MRF,Automobile and Auto Components,,India,NSE,INE883A01011
MRPL,Mangalore Refinery & Petrochemicals,Oil Gas & Consumable Fuels,,India,NSE,INE103A01014
MSUMI,Motherson Sumi Wiring India,Automobile and Auto Components,,India,NSE,INE0FS801015
MUTHOOTFIN,Muthoot Finance,Financial Services,,India,NSE,INE414G01012
NAM-INDIA,Nippon Life India Asset Management,Financial Services,,India,NSE,INE298J01013
NATCOPHARM,NATCO Pharma,Healthcare,,India,NSE,INE987B01026
NATIONALUM,National Aluminium Co.,Metals & Mining,,India,NSE,INE139A01034
NAUKRI,Info Edge (India),Consumer Services,,India,NSE,INE663F01032
NAVA,Nava,Power,,India,NSE,INE725A01030
NAVINFLUOR,Navin Fluorine International,Chemicals,,India,NSE,INE048G01026
NBCC,NBCC (India),Construction,,India,NSE,INE095N01031
NCC,NCC,Construction,,India,NSE,INE868B01028
NESTLEIND,Nestle India,Fast Moving Consumer Goods,,India,NSE,INE239A01016
NETWEB,Netweb Technologies India,Information Technology,,India,NSE,INE0NT901020
NEULANDLAB,Neuland Laboratories,Healthcare,,India,NSE,INE794A01010
NEWGEN,Newgen Software Technologies,Information Technology,,India,NSE,INE619B01017
NH,Narayana Hrudayalaya,Healthcare,,India,NSE,INE410P01011
NHPC,NHPC,Power,,India,NSE,INE848E01016
NIACL,The New India Assurance Company,Financial Services,,India,NSE,INE470Y01017
NIVABUPA,Niva Bupa Health Insurance Company,Financial Services,,India,NSE,INE995S01015
NLCINDIA,NLC India,Power,,India,NSE,INE589A01014
