date,open,high,low,close,volume,adjusted_close,currency
2021-10-26,107.6010756189883,109.526740935849,107.3384818584906,109.15036010742188,681500,109.15036010742188,USD
2021-10-27,110.02567859650004,110.02567859650004,107.25972222177666,107.66236114501952,702900,107.66236114501952,USD
2021-10-28,107.5485588672765,109.13285629243026,107.25970706813806,109.0890884399414,642200,109.0890884399414,USD
2021-10-29,109.13286260405606,110.02566941534818,107.34724230343474,107.53981018066406,1415500,107.53981018066406,USD
2021-11-01,107.39975554203316,108.24005292550856,107.0496394232948,108.20503997802734,633600,108.20503997802734,USD
2021-11-02,108.04748442997398,108.9490461187936,107.3209807995135,108.2838134765625,645400,108.2838134765625,USD
2021-11-03,108.00372733133943,110.15697371815334,107.94245633700872,109.73683166503906,1334300,109.73683166503906,USD
2021-11-04,109.44798112497163,109.6055360662634,108.598935423457,109.24665832519533,427100,109.24665832519533,USD
2021-11-05,109.57050703167342,110.4808235946222,109.40419720748916,110.09568786621094,417900,110.09568786621094,USD
2021-11-08,110.05193518067684,110.09569635807564,108.4413729287616,109.48298645019533,585600,109.48298645019533,USD
2021-11-09,111.12855259353807,113.39559256023198,110.81344273964984,112.54654693603516,840100,112.54654693603516,USD
2021-11-10,112.87293341772217,113.34926577017544,111.69092874040987,112.56420135498048,496000,112.56420135498048,USD
2021-11-11,111.99082584287018,112.10549581666166,110.84410591539483,111.21458435058594,627300,111.21458435058594,USD
2021-11-12,111.24104632610108,112.86409855726842,110.85292221436389,112.11431884765624,688600,112.11431884765624,USD
2021-11-15,112.11432087771256,113.87851835852896,111.8055888422648,113.71973419189452,621500,113.71973419189452,USD
2021-11-16,113.91378797140034,114.19606493169644,112.44069041658408,112.4759750366211,536900,112.4759750366211,USD
2021-11-17,112.02610208034122,113.10225941332256,111.85850182131374,112.73178100585938,597500,112.73178100585938,USD
2021-11-18,111.85851425807182,112.04375348239886,109.9090842536545,111.01170349121094,645500,111.01170349121094,USD
2021-11-19,111.38216517400532,111.96435127413103,109.49448186184154,109.65325927734376,811800,109.65325927734376,USD
2021-11-22,109.50332056160576,112.80235541733032,109.45921310041184,111.53214263916016,821600,111.53214263916016,USD
2021-11-23,115.78382979322296,118.8005942489435,115.30750423061728,117.87440490722656,2006600,117.87440490722656,USD
2021-11-24,118.20079251126792,118.20079251126792,115.53686043371346,116.70123291015624,1068800,116.70123291015624,USD
2021-11-26,116.64830185156768,118.44777056550608,115.21048202631312,115.51039123535156,579600,115.51039123535156,USD
2021-11-29,115.7485659249224,116.08376650273702,113.94026756205632,114.11668395996094,743900,114.11668395996094,USD
